Growing trees.. Progress: 67%. Estimated remaining time: 5 minutes, 15 seconds.
Growing trees.. Progress: 71%. Estimated remaining time: 4 minutes, 44 seconds.
Growing trees.. Progress: 74%. Estimated remaining time: 4 minutes, 10 seconds.
Growing trees.. Progress: 77%. Estimated remaining time: 3 minutes, 40 seconds.
Growing trees.. Progress: 81%. Estimated remaining time: 3 minutes, 7 seconds.
Growing trees.. Progress: 84%. Estimated remaining time: 2 minutes, 34 seconds.
Growing trees.. Progress: 87%. Estimated remaining time: 2 minutes, 1 seconds.
Growing trees.. Progress: 91%. Estimated remaining time: 1 minute, 30 seconds.
Growing trees.. Progress: 94%. Estimated remaining time: 57 seconds.
Growing trees.. Progress: 97%. Estimated remaining time: 25 seconds.
Growing trees.. Progress: 99%. Estimated remaining time: 0 seconds.
Growing trees.. Progress: 3%. Estimated remaining time: 17 minutes, 2 seconds.
Growing trees.. Progress: 7%. Estimated remaining time: 15 minutes, 18 seconds.
Growing trees.. Progress: 10%. Estimated remaining time: 14 minutes, 22 seconds.
Growing trees.. Progress: 14%. Estimated remaining time: 14 minutes, 9 seconds.
Growing trees.. Progress: 17%. Estimated remaining time: 13 minutes, 12 seconds.
Growing trees.. Progress: 21%. Estimated remaining time: 12 minutes, 47 seconds.
Growing trees.. Progress: 24%. Estimated remaining time: 12 minutes, 16 seconds.
Growing trees.. Progress: 27%. Estimated remaining time: 11 minutes, 52 seconds.
Growing trees.. Progress: 30%. Estimated remaining time: 11 minutes, 17 seconds.
Growing trees.. Progress: 33%. Estimated remaining time: 10 minutes, 53 seconds.
Growing trees.. Progress: 37%. Estimated remaining time: 10 minutes, 18 seconds.
Growing trees.. Progress: 40%. Estimated remaining time: 9 minutes, 46 seconds.
Growing trees.. Progress: 43%. Estimated remaining time: 9 minutes, 16 seconds.
Growing trees.. Progress: 46%. Estimated remaining time: 8 minutes, 45 seconds.
Growing trees.. Progress: 49%. Estimated remaining time: 8 minutes, 35 seconds.
Growing trees.. Progress: 51%. Estimated remaining time: 8 minutes, 20 seconds.
Growing trees.. Progress: 53%. Estimated remaining time: 8 minutes, 9 seconds.
Growing trees.. Progress: 55%. Estimated remaining time: 7 minutes, 56 seconds.
Growing trees.. Progress: 57%. Estimated remaining time: 8 minutes, 0 seconds.
Growing trees.. Progress: 59%. Estimated remaining time: 7 minutes, 45 seconds.
Growing trees.. Progress: 61%. Estimated remaining time: 7 minutes, 21 seconds.
Growing trees.. Progress: 63%. Estimated remaining time: 6 minutes, 57 seconds.
Growing trees.. Progress: 66%. Estimated remaining time: 6 minutes, 28 seconds.
Growing trees.. Progress: 69%. Estimated remaining time: 5 minutes, 55 seconds.
Growing trees.. Progress: 72%. Estimated remaining time: 5 minutes, 26 seconds.
Growing trees.. Progress: 74%. Estimated remaining time: 5 minutes, 0 seconds.
Growing trees.. Progress: 76%. Estimated remaining time: 4 minutes, 36 seconds.
Growing trees.. Progress: 79%. Estimated remaining time: 4 minutes, 3 seconds.
Growing trees.. Progress: 81%. Estimated remaining time: 3 minutes, 41 seconds.
Growing trees.. Progress: 84%. Estimated remaining time: 3 minutes, 3 seconds.
Growing trees.. Progress: 88%. Estimated remaining time: 2 minutes, 22 seconds.
Growing trees.. Progress: 91%. Estimated remaining time: 1 minute, 39 seconds.
Growing trees.. Progress: 95%. Estimated remaining time: 1 minute, 2 seconds.
Growing trees.. Progress: 98%. Estimated remaining time: 22 seconds.
Growing trees.. Progress: 98%. Estimated remaining time: 0 seconds.
Growing trees.. Progress: 3%. Estimated remaining time: 19 minutes, 21 seconds.
Growing trees.. Progress: 6%. Estimated remaining time: 16 minutes, 46 seconds.
Growing trees.. Progress: 9%. Estimated remaining time: 15 minutes, 40 seconds.
Growing trees.. Progress: 12%. Estimated remaining time: 14 minutes, 59 seconds.
Growing trees.. Progress: 15%. Estimated remaining time: 14 minutes, 16 seconds.
Growing trees.. Progress: 19%. Estimated remaining time: 13 minutes, 38 seconds.
Growing trees.. Progress: 22%. Estimated remaining time: 13 minutes, 5 seconds.
Growing trees.. Progress: 25%. Estimated remaining time: 12 minutes, 36 seconds.
Growing trees.. Progress: 28%. Estimated remaining time: 12 minutes, 0 seconds.
Growing trees.. Progress: 31%. Estimated remaining time: 11 minutes, 28 seconds.
Growing trees.. Progress: 35%. Estimated remaining time: 10 minutes, 55 seconds.
Growing trees.. Progress: 38%. Estimated remaining time: 10 minutes, 22 seconds.
Growing trees.. Progress: 41%. Estimated remaining time: 9 minutes, 48 seconds.
Growing trees.. Progress: 44%. Estimated remaining time: 9 minutes, 16 seconds.
Growing trees.. Progress: 47%. Estimated remaining time: 8 minutes, 44 seconds.
Growing trees.. Progress: 51%. Estimated remaining time: 8 minutes, 13 seconds.
Growing trees.. Progress: 54%. Estimated remaining time: 7 minutes, 40 seconds.
Growing trees.. Progress: 57%. Estimated remaining time: 7 minutes, 8 seconds.
Growing trees.. Progress: 60%. Estimated remaining time: 6 minutes, 36 seconds.
Growing trees.. Progress: 63%. Estimated remaining time: 6 minutes, 4 seconds.
Growing trees.. Progress: 67%. Estimated remaining time: 5 minutes, 32 seconds.
Growing trees.. Progress: 70%. Estimated remaining time: 5 minutes, 0 seconds.
Growing trees.. Progress: 73%. Estimated remaining time: 4 minutes, 28 seconds.
Growing trees.. Progress: 76%. Estimated remaining time: 3 minutes, 56 seconds.
Growing trees.. Progress: 80%. Estimated remaining time: 3 minutes, 22 seconds.
Growing trees.. Progress: 83%. Estimated remaining time: 2 minutes, 50 seconds.
Growing trees.. Progress: 86%. Estimated remaining time: 2 minutes, 19 seconds.
Growing trees.. Progress: 89%. Estimated remaining time: 1 minute, 47 seconds.
Growing trees.. Progress: 92%. Estimated remaining time: 1 minute, 15 seconds.
Growing trees.. Progress: 96%. Estimated remaining time: 43 seconds.
Growing trees.. Progress: 99%. Estimated remaining time: 11 seconds.
Growing trees.. Progress: 95%. Estimated remaining time: 1 seconds.
Growing trees.. Progress: 3%. Estimated remaining time: 17 minutes, 31 seconds.
Growing trees.. Progress: 7%. Estimated remaining time: 15 minutes, 45 seconds.
Growing trees.. Progress: 10%. Estimated remaining time: 14 minutes, 21 seconds.
Growing trees.. Progress: 13%. Estimated remaining time: 14 minutes, 27 seconds.
Growing trees.. Progress: 16%. Estimated remaining time: 14 minutes, 1 seconds.
Growing trees.. Progress: 20%. Estimated remaining time: 13 minutes, 12 seconds.
Growing trees.. Progress: 23%. Estimated remaining time: 13 minutes, 21 seconds.
Growing trees.. Progress: 26%. Estimated remaining time: 12 minutes, 53 seconds.
Growing trees.. Progress: 29%. Estimated remaining time: 12 minutes, 24 seconds.
Growing trees.. Progress: 31%. Estimated remaining time: 12 minutes, 11 seconds.
Growing trees.. Progress: 35%. Estimated remaining time: 11 minutes, 37 seconds.
Growing trees.. Progress: 38%. Estimated remaining time: 10 minutes, 59 seconds.
Growing trees.. Progress: 41%. Estimated remaining time: 10 minutes, 31 seconds.
Growing trees.. Progress: 43%. Estimated remaining time: 10 minutes, 15 seconds.
Growing trees.. Progress: 46%. Estimated remaining time: 9 minutes, 51 seconds.
Growing trees.. Progress: 49%. Estimated remaining time: 9 minutes, 23 seconds.
Growing trees.. Progress: 51%. Estimated remaining time: 8 minutes, 58 seconds.
Growing trees.. Progress: 54%. Estimated remaining time: 8 minutes, 28 seconds.
Growing trees.. Progress: 57%. Estimated remaining time: 7 minutes, 58 seconds.
Growing trees.. Progress: 60%. Estimated remaining time: 7 minutes, 27 seconds.
Growing trees.. Progress: 62%. Estimated remaining time: 7 minutes, 3 seconds.
Growing trees.. Progress: 65%. Estimated remaining time: 6 minutes, 38 seconds.
Growing trees.. Progress: 67%. Estimated remaining time: 6 minutes, 8 seconds.
Growing trees.. Progress: 70%. Estimated remaining time: 5 minutes, 39 seconds.
Growing trees.. Progress: 73%. Estimated remaining time: 5 minutes, 8 seconds.
Growing trees.. Progress: 76%. Estimated remaining time: 4 minutes, 30 seconds.
Growing trees.. Progress: 80%. Estimated remaining time: 3 minutes, 47 seconds.
Growing trees.. Progress: 83%. Estimated remaining time: 3 minutes, 9 seconds.
Growing trees.. Progress: 86%. Estimated remaining time: 2 minutes, 30 seconds.
Growing trees.. Progress: 90%. Estimated remaining time: 1 minute, 54 seconds.
Growing trees.. Progress: 93%. Estimated remaining time: 1 minute, 14 seconds.
Growing trees.. Progress: 96%. Estimated remaining time: 39 seconds.
Growing trees.. Progress: 100%. Estimated remaining time: 2 seconds.
Growing trees.. Progress: 97%. Estimated remaining time: 0 seconds.
Growing trees.. Progress: 3%. Estimated remaining time: 19 minutes, 58 seconds.
Growing trees.. Progress: 6%. Estimated remaining time: 17 minutes, 35 seconds.
